Corridor, VMT, VHT
"Kensington",69950.741237,119911.080319
"Kensington_OB",8113.973336,15874.590051
"Kensington_IB",6907.446125,12890.783627
"190",318378.348511,367902.103938
"190_OB",40268.627553,59811.768267
"190_IB",34375.625128,42859.566644
"33_west",44679.286277,58465.111439
"I90_south",165100.77935,184251.507989
