Corridor, VMT, VHT
"Kensington",169915.932278,196498.989466
"Kensington_OB",21918.795993,25973.973956
"Kensington_IB",18832.194332,23746.541526
"190",233600.646742,248786.908993
"190_OB",29693.240095,37086.105794
"190_IB",24426.10926,26739.839127
"33_west",38111.102404,48808.347966
"I90_south",126820.4572,134174.40011
