experiment,Grid GHG intensity,Light-duty vehicles: % of LDV stock: EV,Light-duty vehicles: % of LDV stock: PHEV,Trucks: % of MDT stock: EV,Transit vehicles: % of transit bus fleet: EV,Transit vehicles: % of school bus fleet: EV,Transit vehicles: % of commuter rail electrified,Land Use,Prior drive mode share of new riders: bus,Prior drive mode share of new riders: urban rail,Operational improvements: Ridership elasticity,Operational improvements: One-way length of bus routes w/op. improvements,Operational improvements: % travel time savings,New service: New one-way route-miles: rapid bus,New service: New one-way route-miles: urban rail,New service: Average load factor: new rapid bus,New service: Average load factor: new urban rail,New service: Fuel type of new bus service,Active Transportation: Use growth factor or elasticity?,Active Transportation: New bike facility miles,Active Transportation: Bike growth factor,Active Transportation: E-bike % of bike miles,Active Transportation: Share of <2 mi trips converted to walk,Active Transportation: Prior drive mode share of new bike & walk trips:,CAV (Private),% CAV market penetration: LDV,% CAV market penetration: MDT,CAV technology: LDV,CAV technology: MDV,CAV efficiency improvement,CAV - % VMT change: LDV,CAV - % VMT change: MDT,Smart Mobility: Change in auto owership,Ridehailing: Technology,Ridehailing: Market penetration,Ridehailing: Vehicle occupancy: work,Ridehailing: Vehicle occupancy: non-work,Ridehailing: Circuity/deadhead factor,Ridehailing: Prior drive mode share,Demand Reponsive: Technology,Demand Reponsive: Market penetration,Demand Reponsive: Vehicle occupancy,Demand Reponsive: Circuity/deadhead factor,Demand Reponsive: Prior drive mode share,Demand Reponsive: % electric vehicle,Pricing,Pricing: Carbon price change,"Pricing: Fuel cost change (gasoline, diesel)",Pricing: Price change per vehicle-trip ,Pricing: Price change per VMT,Pricing: Elasticity: VMT w/r/t fuel price (LDV),TDM: Additional % workers receiving transit benefit:,TDM: Additional % workers receiving transit benefit: <50 workers,TDM: Additional % workers receiving transit benefit: 50-100 workers,TDM: Additional % workers receiving transit benefit: >100 workers,TDM: Additional % workers at workplace w/TDM program,TDM: Additional % workers at workplace w/TDM program: <50 workers,TDM: Additional % workers at workplace w/TDM program: 50-100 workers,TDM: Additional % workers at workplace w/TDM program: >100 workers,TDM: Additional % workers at workplace w/TDM program: Change in drive-alone mode share w/TDM program,Residential TDM:,Residential TDM: % of residential growth in TDM regulated units,Residential TDM: Mode shift of affected residents,GHG Change 2030: Clean Vehicles,GHG Change 2030: Land Use,GHG Change 2030: Transit,GHG Change 2030: Active Transportation,GHG Change 2030: CAV,GHG Change 2030: Smart Mobility,GHG Change 2030: Travel Pricing,GHG Change 2030: TDM,GHG Change 2030: Combined,GHG Change 2050: Clean Vehicles,GHG Change 2050: Land Use,GHG Change 2050: Transit,GHG Change 2050: Active Transportation,GHG Change 2050: CAV,GHG Change 2050: Smart Mobility,GHG Change 2050: Travel Pricing,GHG Change 2050: TDM,GHG Change 2050: Combined
294,17,26,98,49,71,5,97,False,5,70,138,274,28,76,101,3,34,gasoline,elasticity,64,53,39,30,50,True,72,80,baseline,baseline,28,55,76,4,fleet average,12,23,30,10,9,fleet average,5,82,10,29,62,True,55,57,9,16,37,False,8,31,38,True,38,5,3,2,False,19,72,-1013183.7337580814,0.0,-50666.78989787691,-26883.181693401228,0.0,-26109.80401723172,0.0,0.0,394704.21370378026,-3013.9087464099284,0.0,-5581.700676723326,-50782.68222136843,0.0,-149319.0844029788,0.0,0.0,989418.5533532084
295,72,54,71,42,26,24,77,False,100,47,111,404,32,106,26,29,37,CNG,elasticity,119,88,54,9,38,False,97,81,EV,baseline,24,37,86,0,EV,9,22,10,15,20,EV,23,77,12,35,69,True,18,312,8,18,42,False,16,0,10,True,22,47,15,0,True,3,23,-1015198.7505443776,0.0,-22340.446779680697,-36904.62455600023,0.0,18790.30352011512,0.0,0.0,440993.36670824076,-3012.549937567208,0.0,-6794.819044264019,-42323.665034524565,0.0,-141427.6434868065,0.0,0.0,1003309.272488617
296,3,52,34,89,40,17,93,True,90,25,36,478,170,25,17,13,37,diesel,growth factor,155,78,48,13,74,False,7,6,EV,baseline,12,56,57,3,EV,13,22,22,13,97,EV,7,74,14,65,14,True,78,45,3,2,20,False,34,6,8,True,2,42,41,78,False,54,18,-915498.6462874877,0.0,-6869.21161575222,-62945.198514514406,0.0,-161360.8144192266,0.0,0.0,360962.87511573196,-3018.5286964752013,0.0,-4396.381329699163,-67700.71659505619,0.0,-144587.78575194278,0.0,0.0,980150.4759691082
297,333,24,26,12,17,33,43,False,30,7,117,37,76,56,15,1,21,CNG,elasticity,9,11,40,59,29,True,29,34,EV,baseline,13,87,28,3,EV,17,30,17,10,6,EV,19,137,15,17,44,True,100,15,2,11,43,False,21,14,45,True,49,48,50,67,True,15,21,-219387.7957462184,0.0,6603.732080910398,-355.1911874616738,0.0,45066.04444905527,0.0,0.0,1287099.0397610276,-3012.278175798594,0.0,-605.8091413363221,-35979.40214439164,0.0,-149318.01465679708,0.0,0.0,1006478.2381271266
298,150,42,41,31,2,66,23,False,63,61,79,321,135,38,131,14,10,diesel,elasticity,67,42,5,39,56,True,62,2,EV,baseline,30,68,33,11,EV,10,20,11,13,94,EV,4,75,11,55,21,True,19,7,4,13,13,False,28,26,29,True,32,28,42,66,True,30,59,-605590.5048160718,0.0,-6283.471133755577,-22458.91258684034,0.0,-103808.15555420771,0.0,0.0,731835.2214085738,-3020.431028855033,0.0,-6791.171088506582,-55012.19081479038,0.0,-144589.0338543392,0.0,0.0,989221.0335557472
299,197,83,0,62,75,76,63,True,27,14,98,344,157,122,65,38,47,electricity,growth factor,98,82,10,55,34,False,96,55,baseline,EV,37,99,29,7,fleet average,21,16,13,19,89,EV,0,46,20,39,72,False,55,295,6,16,14,True,11,34,46,False,47,34,4,0,False,59,66,-746408.6229092639,0.0,-2143.609953767132,-30626.219358990853,0.0,44992.437288956986,0.0,0.0,737546.6246057732,-3020.1592670865357,0.0,-1150.8456843945632,-39503.99263890993,0.0,-135120.19620077178,0.0,0.0,1016652.4818027393
300,317,89,9,3,33,14,36,True,82,9,126,350,61,112,117,18,9,gasoline,elasticity,157,37,93,15,19,False,36,44,baseline,baseline,35,98,94,5,EV,20,15,29,13,67,fleet average,15,52,16,93,41,True,60,154,10,10,6,False,44,2,22,True,17,40,35,66,False,40,16,-629202.569562064,0.0,20167.327400969454,-5872.955408072352,0.0,-112111.79172224995,0.0,0.0,721583.613896667,-3022.333361234865,0.0,-2626.40384715642,-28930.221155355084,0.0,-144590.28197615335,0.0,0.0,1015496.0839052474
301,178,40,71,16,98,11,59,False,15,80,34,280,144,8,47,5,25,diesel,elasticity,2,47,29,53,65,False,7,44,EV,baseline,48,53,60,12,fleet average,25,11,17,16,2,EV,21,92,20,70,9,True,25,218,3,2,7,False,14,20,40,False,48,42,14,71,True,65,46,-745709.2209573707,0.0,-16276.989013712113,-30040.5929013574,0.0,-92108.92974023445,0.0,0.0,598582.379705281,-3022.0615994663676,0.0,-6864.3432229696255,-61356.4537049233,0.0,-139855.77399582998,0.0,0.0,988096.1000796458
302,399,60,10,74,70,56,48,True,62,57,98,364,5,128,126,0,14,diesel,elasticity,66,41,68,17,15,False,17,41,baseline,baseline,34,37,34,4,EV,8,25,14,12,1,fleet average,16,76,13,97,37,True,27,265,5,10,45,False,40,29,18,False,2,38,10,38,True,33,91,-322932.8105868595,0.0,21246.61358393058,-5244.635150530684,0.0,-314301.7980590868,0.0,0.0,827642.3365458713,-3011.734652261599,0.0,-6383.9580418023115,-26110.548759740454,0.0,-146161.4382938943,0.0,0.0,1013223.0548366648
303,384,20,80,29,97,18,15,True,7,19,70,360,193,147,37,11,55,gasoline,growth factor,161,37,90,60,51,True,96,9,EV,EV,23,34,40,9,EV,15,27,10,10,47,fleet average,15,133,18,62,42,True,41,374,9,9,10,False,44,41,18,False,33,15,22,15,False,17,52,-392800.41832850873,0.0,9088.903665160173,-16661.710695712525,0.0,-214606.22998469058,0.0,0.0,844041.1037546976,-3021.246314160642,0.0,-910.1338592322933,-51487.60032027209,0.0,-149323.89843732858,0.0,0.0,992692.8275513302
