experiment,Grid GHG intensity,Light-duty vehicles: % of LDV stock: EV,Light-duty vehicles: % of LDV stock: PHEV,Trucks: % of MDT stock: EV,Transit vehicles: % of transit bus fleet: EV,Transit vehicles: % of school bus fleet: EV,Transit vehicles: % of commuter rail electrified,Land Use,Prior drive mode share of new riders: bus,Prior drive mode share of new riders: urban rail,Operational improvements: Ridership elasticity,Operational improvements: One-way length of bus routes w/op. improvements,Operational improvements: % travel time savings,New service: New one-way route-miles: rapid bus,New service: New one-way route-miles: urban rail,New service: Average load factor: new rapid bus,New service: Average load factor: new urban rail,New service: Fuel type of new bus service,Active Transportation: Use growth factor or elasticity?,Active Transportation: New bike facility miles,Active Transportation: Bike growth factor,Active Transportation: E-bike % of bike miles,Active Transportation: Share of <2 mi trips converted to walk,Active Transportation: Prior drive mode share of new bike & walk trips:,CAV (Private),% CAV market penetration: LDV,% CAV market penetration: MDT,CAV technology: LDV,CAV technology: MDV,CAV efficiency improvement,CAV - % VMT change: LDV,CAV - % VMT change: MDT,Smart Mobility: Change in auto owership,Ridehailing: Technology,Ridehailing: Market penetration,Ridehailing: Vehicle occupancy: work,Ridehailing: Vehicle occupancy: non-work,Ridehailing: Circuity/deadhead factor,Ridehailing: Prior drive mode share,Demand Reponsive: Technology,Demand Reponsive: Market penetration,Demand Reponsive: Vehicle occupancy,Demand Reponsive: Circuity/deadhead factor,Demand Reponsive: Prior drive mode share,Demand Reponsive: % electric vehicle,Pricing,Pricing: Carbon price change,"Pricing: Fuel cost change (gasoline, diesel)",Pricing: Price change per vehicle-trip ,Pricing: Price change per VMT,Pricing: Elasticity: VMT w/r/t fuel price (LDV),TDM: Additional % workers receiving transit benefit:,TDM: Additional % workers receiving transit benefit: <50 workers,TDM: Additional % workers receiving transit benefit: 50-100 workers,TDM: Additional % workers receiving transit benefit: >100 workers,TDM: Additional % workers at workplace w/TDM program,TDM: Additional % workers at workplace w/TDM program: <50 workers,TDM: Additional % workers at workplace w/TDM program: 50-100 workers,TDM: Additional % workers at workplace w/TDM program: >100 workers,TDM: Additional % workers at workplace w/TDM program: Change in drive-alone mode share w/TDM program,Residential TDM:,Residential TDM: % of residential growth in TDM regulated units,Residential TDM: Mode shift of affected residents,GHG Change 2030: Clean Vehicles,GHG Change 2030: Land Use,GHG Change 2030: Transit,GHG Change 2030: Active Transportation,GHG Change 2030: CAV,GHG Change 2030: Smart Mobility,GHG Change 2030: Travel Pricing,GHG Change 2030: TDM,GHG Change 2030: Combined,GHG Change 2050: Clean Vehicles,GHG Change 2050: Land Use,GHG Change 2050: Transit,GHG Change 2050: Active Transportation,GHG Change 2050: CAV,GHG Change 2050: Smart Mobility,GHG Change 2050: Travel Pricing,GHG Change 2050: TDM,GHG Change 2050: Combined
1,328,53,46,20,93,53,68,False,37,57,21,342,180,99,22,9,3,diesel,growth factor,14,21,23,10,54,False,13,67,baseline,baseline,38,89,91,0,fleet average,24,30,22,20,98,fleet average,3,86,18,95,38,False,99,22,4,17,16,False,38,4,50,False,21,19,14,4,True,2,83,-535115.6561939451,0.0,7764.3068354432635,-7413.025490803792,0.0,-105222.84910638213,0.0,0.0,815757.9552415522,-3019.615743549424,0.0,-5501.924943516895,-53602.354616983066,0.0,-133541.72970689222,0.0,0.0,1002029.6324931039
2,396,10,35,65,66,63,60,False,26,34,26,150,105,127,97,14,0,gasoline,growth factor,57,76,43,50,30,True,84,91,baseline,baseline,20,24,45,0,fleet average,12,15,18,19,77,fleet average,14,109,11,57,34,True,81,98,6,6,4,True,5,6,22,False,23,19,9,28,True,53,94,-196811.6157765931,0.0,33384.718429337074,-24122.05106569092,0.0,-171545.57516958506,0.0,0.0,1094070.6072615413,-3022.8768847719766,0.0,-2975.2229743274074,-36684.320243295304,0.0,-135121.97923391624,0.0,0.0,1017575.2326441738
3,362,85,96,63,79,3,62,True,79,42,20,66,99,115,30,28,20,CNG,growth factor,163,55,0,4,98,True,70,82,baseline,baseline,7,68,83,17,fleet average,21,23,26,15,19,fleet average,16,54,19,77,84,True,82,156,7,4,0,False,5,43,2,True,22,38,35,23,False,84,1,-928235.5606423235,0.0,-6191.280291987606,-55518.058373527,0.0,7889404.274193535,0.0,0.0,8061696.522028898,-3023.963931846083,0.0,-5588.996588238201,-84618.75096874393,0.0,-141435.13202629428,0.0,0.0,967323.7405158702
4,25,55,23,40,18,54,37,True,37,57,33,474,78,148,0,32,57,diesel,growth factor,144,74,54,3,54,False,72,99,EV,EV,44,55,77,9,EV,22,13,27,19,41,fleet average,9,116,20,41,40,True,62,396,7,1,44,False,34,3,47,False,1,9,44,57,False,4,56,-766754.4550664637,0.0,-1727.3635322493792,-43189.64026343249,0.0,-66456.04030126949,0.0,0.0,603521.8245572845,-3012.0064140300965,0.0,-5501.924943516895,-53602.354616983066,0.0,-135114.8473390992,0.0,0.0,1000541.5078293299
5,223,64,44,63,13,64,35,True,88,36,22,486,71,51,80,38,33,gasoline,elasticity,16,56,55,47,90,False,22,33,baseline,EV,46,98,33,3,EV,15,24,12,16,63,EV,5,34,20,98,14,True,12,302,6,16,41,False,45,27,0,False,17,13,18,65,False,84,41,-712272.8923961015,0.0,-17443.396099014222,-51581.55055998876,0.0,25501.07473670806,0.0,0.0,733011.2498714459,-3012.8216993357055,0.0,-5348.630919461673,-78979.40617751468,0.0,-139849.71188523644,0.0,0.0,973936.8037508819
6,125,43,7,76,67,96,93,True,80,76,76,442,57,18,39,20,22,CNG,elasticity,13,72,90,27,15,False,66,77,baseline,baseline,28,61,38,14,fleet average,11,27,15,16,0,EV,8,127,10,26,19,True,30,304,6,2,29,False,43,16,32,False,7,37,23,78,True,29,26,-527810.4662346622,0.0,-13934.080694849072,-11151.13747743761,0.0,-83367.40274484482,0.0,0.0,830251.121864601,-3016.082840558258,0.0,-8785.697555738863,-26110.548759740454,0.0,-139851.85140137473,0.0,0.0,1017289.7482364567
7,82,23,84,91,88,88,15,False,24,90,139,367,192,16,91,36,34,gasoline,elasticity,113,16,53,48,15,False,60,66,baseline,EV,10,13,80,16,EV,9,30,27,15,86,fleet average,23,130,10,97,100,False,48,206,0,1,30,True,33,24,1,True,35,44,11,91,False,85,9,-816133.411118272,0.0,-62817.2190134376,-1108.488138720489,0.0,-613492.6402172943,0.0,0.0,25142.058378142614,-3015.8110787897604,0.0,-8111.7044452845075,-26110.548759740454,0.0,-141429.78299818988,0.0,0.0,1016337.3131757934
8,89,39,77,11,76,42,6,True,23,62,20,270,1,25,1,24,45,CNG,growth factor,133,72,5,57,0,True,13,17,EV,EV,21,2,96,10,fleet average,5,10,18,13,51,EV,0,142,17,99,47,True,51,163,7,11,1,True,33,16,32,True,5,16,43,93,False,99,52,-854529.0706572849,0.0,205.79001216978955,20.110707095665603,0.0,-38290.44547128696,0.0,0.0,563189.6801769616,-3023.6921700775856,0.0,-5472.901061943125,-15536.77727618561,0.0,-144591.17350362346,0.0,0.0,1024739.9557001569
9,133,86,11,88,33,78,21,False,53,75,146,165,116,34,96,19,38,CNG,elasticity,179,13,52,49,86,True,5,41,EV,EV,44,90,37,11,fleet average,1,22,29,14,37,EV,23,80,16,6,86,False,91,120,8,4,38,False,19,40,50,False,3,8,15,42,False,27,2,-893259.222238365,0.0,-56595.16081524894,-3219.915159726945,0.0,29725.021725006998,0.0,0.0,568100.904904404,-3013.636984641431,0.0,-7740.118878897398,-76159.73378190008,0.0,-143006.46654293375,0.0,0.0,971500.6876800358
10,214,40,10,5,93,80,27,True,64,10,110,90,45,73,86,39,32,diesel,growth factor,20,17,13,31,37,False,75,62,baseline,baseline,9,57,25,6,EV,25,12,18,20,20,fleet average,9,128,20,45,29,True,42,35,2,9,25,False,30,38,36,False,3,28,10,91,True,67,79,-371080.4206718451,0.0,370.6556027314578,-3237.983372126152,0.0,157065.783139424,0.0,0.0,1239460.6414468512,-3017.169887632481,0.0,-2084.3229470841306,-41618.746935620904,0.0,-133540.12501807674,0.0,0.0,1015513.5976115064
11,73,44,85,3,31,53,53,True,94,71,15,194,80,21,121,4,53,gasoline,elasticity,181,92,97,5,92,False,46,13,baseline,baseline,33,83,25,11,EV,21,16,16,12,76,EV,12,59,11,73,17,False,19,326,3,1,13,True,16,38,21,True,29,32,10,69,False,20,38,-973772.949606355,0.0,-100535.19101682046,-94071.03226291203,0.0,-57982.21394677692,0.0,0.0,369362.79165771714,-3020.431028855033,0.0,-8814.72143731263,-80389.242375322,0.0,-146167.14374634527,0.0,0.0,964003.0619855147
12,378,94,7,27,43,16,57,True,15,31,126,242,142,28,42,9,52,gasoline,growth factor,70,58,85,40,71,True,96,85,baseline,EV,6,84,24,2,EV,30,14,19,20,8,EV,6,124,14,80,32,False,28,361,10,3,14,True,11,32,32,False,32,34,27,23,True,75,29,-567047.712889106,0.0,-3771.821627190064,-41791.55051234814,0.0,162147.5263487759,0.0,0.0,1018207.8583213406,-3020.1592670865357,0.0,-2308.1796190021846,-65585.96229834523,0.0,-133542.08630876572,0.0,0.0,994140.3133857809
13,81,2,21,40,33,78,7,True,43,61,84,340,34,8,16,12,14,diesel,growth factor,31,84,62,46,28,True,61,26,EV,baseline,0,98,89,4,fleet average,4,12,20,16,58,EV,23,69,14,5,45,True,71,90,3,17,23,False,50,35,15,False,49,14,45,95,False,27,81,-159673.12934705988,0.0,-2473.853953013989,-25686.107866376617,0.0,-33186.238944226265,0.0,0.0,1238670.58028074,-3017.7134111695923,0.0,-6085.544609878245,-35274.484045488,0.0,-139852.9211808416,0.0,0.0,1011588.0371568253
14,254,26,39,57,54,71,46,False,7,35,143,431,116,123,49,10,59,diesel,growth factor,96,47,83,7,77,True,93,87,baseline,EV,27,37,19,4,EV,29,28,14,11,24,fleet average,2,91,17,56,49,False,2,89,4,13,22,True,48,2,42,False,35,7,50,2,False,43,79,-397530.0579679132,0.0,-8297.9068665259,-35230.374874836045,0.0,100285.51136617528,0.0,0.0,1124195.6343128965,-3017.98517293809,0.0,-2397.860750323702,-69815.47089176715,0.0,-147743.6489388366,0.0,0.0,976988.5080702769
15,175,46,47,7,50,96,52,True,67,32,24,168,188,141,39,16,28,CNG,growth factor,24,26,4,35,30,False,58,85,baseline,baseline,41,1,45,9,EV,4,18,10,12,43,EV,5,101,20,85,60,False,29,358,8,7,41,False,44,9,38,True,27,15,34,58,True,24,69,-634490.8295305981,0.0,-3998.05249392322,-6014.933785979495,0.0,-129657.03870453977,0.0,0.0,687024.1839780611,-3012.8216993357055,0.0,-4235.791394129069,-36684.320243295304,0.0,-146162.15145326062,0.0,0.0,1005842.9873495529
16,70,31,49,69,54,29,14,True,87,93,45,311,132,131,134,11,0,diesel,growth factor,146,92,10,17,60,False,64,28,EV,baseline,43,43,51,2,fleet average,7,11,24,11,37,fleet average,15,96,16,78,81,False,91,80,1,11,14,False,29,30,9,True,1,15,17,34,False,80,10,-660447.6291653422,0.0,6087.9464084119645,-61581.62118755556,0.0,-338409.67965550197,0.0,0.0,439562.28076321667,-3020.1592670865357,0.0,-10613.376645043401,-57831.86321040499,0.0,-147745.07533682015,0.0,0.0,980603.5281746724
17,129,25,50,75,68,8,38,True,44,59,7,292,98,27,125,14,57,diesel,growth factor,129,79,20,3,84,True,46,5,EV,EV,20,21,81,13,EV,15,24,10,18,14,EV,7,132,19,87,85,False,71,256,2,20,42,False,8,13,44,False,14,6,12,1,False,100,47,-554597.5714163522,0.0,-87232.47843883991,-72540.674023596,0.0,-58678.43519496136,0.0,0.0,752689.2226420441,-3012.549937567208,0.0,-5934.860072423237,-74749.89758409275,0.0,-136693.31381078836,0.0,0.0,980102.3750754565
18,382,17,32,47,14,18,78,True,60,73,58,43,60,120,104,10,27,electricity,elasticity,199,29,98,23,84,True,28,0,EV,EV,28,77,52,1,EV,6,14,23,10,88,fleet average,3,116,18,41,16,True,91,14,8,0,2,True,39,0,38,True,46,7,2,90,False,37,7,-227314.82179354224,0.0,-16202.00657430717,-19580.785624355056,0.0,-59113.67305319717,0.0,0.0,1140925.2419556708,-3023.420408309088,0.0,-7801.122285030888,-74749.89758409275,0.0,-149325.32487335496,0.0,0.0,966786.9467107864
19,164,76,79,83,96,29,64,False,55,9,113,183,139,98,7,34,5,electricity,growth factor,106,64,0,16,24,False,14,49,EV,EV,11,51,40,6,fleet average,13,26,18,14,53,EV,12,137,19,54,39,False,89,263,8,8,24,True,41,6,40,False,42,9,13,97,False,75,1,-1156358.4796528122,0.0,-5522.656492934017,-16259.23722586791,0.0,298987.87642911467,0.0,0.0,589621.7145994622,-3017.4416494009783,0.0,-1673.8081010081673,-32454.81164987336,0.0,-143008.96266728523,0.0,0.0,1014767.814718925
20,303,18,43,50,80,90,99,True,25,94,121,345,121,40,61,5,23,electricity,growth factor,111,44,76,32,48,False,82,53,EV,EV,49,12,69,13,EV,26,29,24,20,83,fleet average,10,50,10,35,24,False,85,305,5,18,25,False,37,32,37,False,12,35,11,16,False,13,74,-333273.38654977723,0.0,-16922.804107462885,-19953.6386834432,0.0,-144944.50144096743,0.0,0.0,953095.8261085812,-3017.169887632481,0.0,-8518.917491988776,-49372.84602356112,0.0,-133540.12501807674,0.0,0.0,1003200.3907198954
21,335,51,59,25,1,63,94,False,10,86,71,378,174,74,13,28,45,gasoline,growth factor,135,79,12,26,39,True,1,38,baseline,baseline,48,3,81,3,fleet average,13,15,14,18,8,EV,5,36,13,15,28,False,6,63,3,2,35,True,13,46,12,True,12,3,24,57,True,57,87,-523543.15435664123,0.0,-6315.315478641726,-33659.22637457224,0.0,186633.96999066105,0.0,0.0,1088400.6675623567,-3014.45226994704,0.0,-7245.834187471819,-43028.58313342822,0.0,-136694.561852161,0.0,0.0,1006843.8750675129
22,187,63,66,25,10,77,37,False,26,71,9,47,39,137,35,27,49,electricity,elasticity,99,77,17,31,1,False,22,45,EV,baseline,32,65,76,0,EV,27,26,12,17,37,EV,9,81,16,30,3,False,39,252,8,16,8,False,30,42,29,False,19,17,50,39,True,88,86,-889880.2222283912,0.0,-20906.37325602024,-685.6470109072945,0.0,83158.99257334873,0.0,0.0,639577.0280391944,-3021.7898376977537,0.0,-6415.591409976291,-16241.69537508927,0.0,-138277.48579991513,0.0,0.0,1029506.5874360504
23,256,43,51,44,52,44,45,True,74,92,62,450,0,60,14,24,51,electricity,growth factor,2,81,91,1,72,False,83,49,EV,EV,19,42,15,2,fleet average,27,15,15,10,1,EV,21,150,12,62,82,True,32,55,6,15,27,True,35,44,12,False,11,37,20,18,True,86,71,-558140.5566394457,0.0,-15502.89430290587,-63031.16140216515,0.0,-122213.76789159067,0.0,0.0,734090.0484504924,-3016.6263640953694,0.0,-10061.736503241775,-66290.88039724888,0.0,-149320.8673449816,0.0,0.0,972264.2284655309
24,386,36,99,4,22,1,18,True,52,87,61,205,191,36,12,20,14,gasoline,growth factor,186,50,45,42,5,True,13,85,EV,baseline,35,77,79,3,EV,0,26,27,16,54,fleet average,19,48,17,75,7,True,10,180,1,10,45,False,0,31,4,False,27,33,40,83,False,41,13,-444709.06785519747,0.0,-1464.5701976468488,-2012.4297228704263,0.0,28555.937265649496,0.0,0.0,1037286.9871232157,-3011.734652261599,0.0,-8820.632723284538,-19061.367770703895,0.0,-139848.9987258701,0.0,0.0,1023424.1302466677
25,248,23,83,50,76,10,47,False,17,46,116,340,143,142,91,28,22,CNG,growth factor,10,25,86,40,58,True,14,11,EV,baseline,11,30,98,14,EV,20,27,16,20,29,fleet average,4,32,16,37,60,True,55,187,9,1,16,False,42,2,33,True,5,29,19,83,False,3,31,-582734.3694159922,0.0,-1425.6614423099331,-10697.598263793212,0.0,83181.7570944304,0.0,0.0,948412.5388015178,-3019.615743549424,0.0,-3773.486227263215,-56422.0270125977,0.0,-133541.72970689222,0.0,0.0,1001002.577602575
26,203,30,94,35,74,74,42,True,37,54,61,0,74,87,23,7,57,diesel,growth factor,13,23,76,16,7,True,2,28,baseline,baseline,43,78,58,5,fleet average,27,30,13,17,24,fleet average,10,59,12,97,98,True,81,56,6,17,22,True,6,10,17,False,26,46,6,32,False,8,60,-738605.7553253011,0.0,-8992.929355870669,-996.2440069217773,0.0,31253.270934489003,0.0,0.0,743436.5213737439,-3017.98517293809,0.0,-5222.976151437255,-20471.203968511214,0.0,-138274.9895868003,0.0,0.0,1026838.259330043
27,102,12,79,55,65,19,91,False,34,6,0,339,42,52,11,29,21,electricity,growth factor,52,96,24,36,3,True,58,72,EV,baseline,20,16,70,3,EV,10,13,23,16,0,EV,15,138,16,100,34,False,55,390,1,5,48,False,43,21,1,False,28,5,3,97,False,4,23,-635833.7738861695,0.0,619.6522996766172,-3079.828117119353,0.0,-390432.9478362252,0.0,0.0,428928.6966161474,-3010.9193669558736,0.0,-653.9515063687758,-17651.53157289658,0.0,-139848.46386050593,0.0,0.0,1031737.247070878
28,91,91,58,12,72,67,80,False,96,10,72,307,41,33,79,36,37,CNG,growth factor,48,68,13,55,90,True,51,63,baseline,EV,3,28,17,15,fleet average,12,25,21,18,46,EV,22,39,12,86,60,False,88,187,3,15,48,False,25,36,48,False,2,46,9,77,False,52,14,-1258961.0252300822,0.0,-7255.508478845386,-65355.0147809353,0.0,1004969.699860356,0.0,0.0,1142256.0436163556,-3010.9193669558736,0.0,-3213.325312889468,-78979.40617751468,0.0,-136692.24407649384,0.0,0.0,978633.116015646
29,357,6,55,69,28,2,4,False,78,30,28,305,84,113,75,35,5,electricity,elasticity,101,15,33,56,5,False,95,27,EV,EV,8,37,72,10,fleet average,19,23,18,14,11,fleet average,10,128,16,53,75,True,35,121,1,9,50,True,38,15,29,True,7,30,17,28,True,20,75,-205415.00281176646,0.0,4744.322062617387,-271.76419496318516,0.0,-94984.21609288358,0.0,0.0,1159071.641007951,-3010.375843418762,0.0,-4437.920095988227,-19061.367770703895,0.0,-143004.3270695897,0.0,0.0,1024127.3469742442
30,291,19,26,19,40,62,8,False,47,53,104,174,170,88,76,38,23,electricity,growth factor,40,56,78,6,97,True,65,17,baseline,EV,47,81,3,13,EV,6,30,10,20,68,fleet average,11,52,17,80,50,True,93,347,8,20,19,True,35,33,22,False,18,8,46,36,True,86,34,-230784.75326420204,0.0,-11091.27269890957,-55342.155004655186,0.0,-265019.6824375672,0.0,0.0,916585.446355651,-3018.800458243699,0.0,-5482.806460058208,-83913.83286984029,0.0,-133541.19480705395,0.0,0.0,975335.5650937962
31,152,48,78,92,85,50,90,False,74,16,13,473,3,150,107,20,2,CNG,growth factor,3,20,49,21,1,False,81,44,EV,baseline,33,42,8,7,EV,19,30,21,20,9,EV,6,33,20,45,62,False,56,61,0,8,13,True,38,45,28,False,0,19,43,77,True,11,62,-955014.652648766,0.0,7408.169942981136,-71.14132822298978,0.0,64218.39519326043,0.0,0.0,567973.3419167824,-3020.431028855033,0.0,-2995.033770557577,-16241.69537508927,0.0,-133542.2646102969,0.0,0.0,1037140.3275494499
32,375,67,15,56,54,13,94,True,1,59,10,365,88,29,115,6,31,diesel,elasticity,65,22,75,11,79,True,71,96,baseline,baseline,8,41,53,14,EV,6,24,17,17,72,EV,22,44,17,11,66,True,31,209,10,6,50,False,11,26,21,False,29,4,47,12,False,61,81,-393607.35630562715,0.0,-16855.094137007316,-11691.188712411911,0.0,286754.2003502053,0.0,0.0,1322742.8715671368,-3010.375843418762,0.0,-4417.763143372316,-71225.30708957447,0.0,-138269.99739357154,0.0,0.0,982982.0739999637
33,387,69,9,23,33,53,28,True,74,66,12,324,200,45,145,28,2,diesel,growth factor,182,85,17,15,21,False,68,70,baseline,EV,38,96,99,10,fleet average,9,22,20,11,83,fleet average,15,81,14,83,56,False,87,229,2,11,12,True,15,31,25,False,43,20,8,87,False,65,36,-416760.022842058,0.0,32568.884557887344,-19476.849026723256,0.0,-329202.3442436295,0.0,0.0,716131.1402122858,-3020.7027906235307,0.0,-7644.180305218231,-30340.057353162403,0.0,-147745.4319402788,0.0,0.0,1006926.6082186061
34,317,3,78,88,56,60,80,False,59,32,117,162,140,81,10,25,26,diesel,elasticity,194,96,3,0,42,False,63,52,EV,EV,26,59,30,8,fleet average,28,19,20,19,9,fleet average,20,96,15,93,52,False,54,234,0,15,18,True,3,16,30,True,33,35,0,39,False,67,48,-374404.69834970566,0.0,-3147.659306584292,-45376.67383978839,0.0,-298866.59855944396,0.0,0.0,756618.3504343539,-3019.0722200123128,0.0,-3953.5408026777354,-45143.337430139174,0.0,-135119.48299860986,0.0,0.0,1009290.3327881175
35,260,67,76,93,61,67,11,True,3,47,64,291,138,134,75,17,9,diesel,growth factor,36,24,51,13,12,False,18,15,baseline,baseline,32,82,39,1,fleet average,11,22,21,19,41,fleet average,20,107,11,11,30,True,51,271,0,9,10,False,12,28,19,False,21,45,33,7,True,79,29,-890644.2618117365,0.0,14614.999157530247,-1975.9003574329774,0.0,126066.77534296882,0.0,0.0,697336.5941637172,-3021.246314160642,0.0,-3372.5306229165917,-23995.794463029488,0.0,-135120.90940927417,0.0,0.0,1028422.1117172941
36,349,51,0,48,59,33,29,False,92,49,104,28,119,123,84,2,25,CNG,elasticity,146,32,16,4,98,False,89,27,baseline,baseline,39,17,59,10,fleet average,27,10,12,14,69,EV,1,56,18,52,36,True,55,397,4,14,49,False,22,2,39,True,6,22,19,96,True,15,50,-279826.5824720161,0.0,3460.565394943401,-27046.46987417164,0.0,110238.38300403516,0.0,0.0,1265438.2475157364,-3010.647605187376,0.0,-6698.53431419911,-84618.75096874393,0.0,-143004.50535685572,0.0,0.0,964980.7583596178
37,57,19,63,76,31,15,76,False,87,18,41,233,116,111,129,25,8,gasoline,elasticity,81,68,26,16,22,False,5,3,EV,baseline,36,91,23,16,EV,10,19,14,13,85,fleet average,4,127,20,69,87,True,22,53,10,11,1,False,39,5,46,True,31,12,26,12,True,70,22,-669108.0931480014,0.0,-7481.260168863536,-15915.727340282543,0.0,-199313.24937982412,0.0,0.0,578092.2198426323,-3023.6921700775856,0.0,-3639.656843052421,-31044.975452066057,0.0,-144591.17350362346,0.0,0.0,1012780.9053448302
38,292,81,78,77,18,77,34,False,69,58,123,262,59,132,25,38,24,diesel,elasticity,62,57,72,18,62,False,20,53,EV,baseline,25,44,15,1,fleet average,2,18,16,13,36,fleet average,20,128,16,43,33,True,31,225,3,7,30,False,16,36,26,True,11,36,25,96,True,99,34,-884507.4528813792,0.0,-16604.043505912814,-35919.72975883277,0.0,394210.0503723257,0.0,0.0,931060.2899541451,-3015.8110787897604,0.0,-6723.9102400154425,-59241.699408212306,0.0,-144586.00278220198,0.0,0.0,985600.2054592962
39,372,42,69,24,20,60,25,True,39,38,19,467,188,63,65,10,36,diesel,growth factor,54,16,94,43,26,False,18,22,EV,baseline,34,41,95,6,EV,1,21,25,18,57,fleet average,24,57,15,57,100,True,34,75,7,18,43,True,23,3,32,True,4,23,33,68,False,80,1,-421967.6287254237,0.0,-2342.3903402594287,-1811.3144526084138,0.0,-53609.641063178016,0.0,0.0,977549.6207983788,-3012.278175798594,0.0,-3805.8119082086787,-33864.64784768068,0.0,-136693.1355207487,0.0,0.0,1017836.8687116151
40,176,25,58,59,53,93,43,False,3,7,81,153,183,42,60,30,2,diesel,growth factor,190,97,29,31,4,True,26,54,EV,baseline,44,77,23,9,EV,4,13,21,10,18,fleet average,12,74,18,70,6,False,25,307,5,17,12,False,41,30,17,False,19,1,33,45,False,22,50,-566886.510814054,0.0,9676.117089119805,-4043.1497652012918,0.0,-274708.1627428054,0.0,0.0,616692.6467143776,-3020.7027906235307,0.0,346.78660481193083,-18356.44967180024,0.0,-149323.54183228483,0.0,0.0,1022642.9811627809
41,345,88,10,39,51,51,98,False,52,94,136,238,148,105,131,39,33,electricity,growth factor,21,26,51,18,42,False,30,100,baseline,baseline,6,85,45,18,fleet average,25,28,23,17,84,fleet average,21,90,17,30,13,True,38,383,4,12,29,False,44,31,11,True,32,48,8,16,True,91,9,-576460.7569215449,0.0,-71872.38530528099,-8252.185779211524,0.0,-71567.77738225681,0.0,0.0,763658.0928942852,-3016.082840558258,0.0,-9471.51323813703,-45143.337430139174,0.0,-138273.74150936867,0.0,0.0,1001589.7838146752
42,10,47,36,76,91,35,1,False,51,54,114,427,51,132,41,18,56,CNG,elasticity,169,75,40,12,25,False,56,9,baseline,baseline,48,50,22,1,EV,8,20,27,11,30,fleet average,20,140,12,20,30,False,63,364,6,15,11,False,7,15,40,True,12,47,5,90,False,7,24,-822471.3122202386,0.0,-28901.0629378962,-20312.943830360568,0.0,-112304.27691525963,0.0,0.0,503674.44913359283,-3020.9745523921447,0.0,-5716.914686477089,-33159.72974877702,0.0,-147745.6102426025,0.0,0.0,1006115.6961570604
43,212,59,47,62,21,1,15,False,12,58,63,204,111,97,122,40,4,gasoline,elasticity,66,21,35,14,70,True,86,26,baseline,baseline,43,66,69,0,EV,17,10,30,17,2,EV,3,103,20,43,22,False,54,328,7,7,43,False,47,6,4,False,39,21,30,73,True,55,5,-687891.8117804618,0.0,15372.65831182285,-9608.8063660331,0.0,65407.87391424482,0.0,0.0,836679.3068947871,-3012.278175798594,0.0,-4712.874775924688,-64881.04419944156,0.0,-138271.24541275477,0.0,0.0,988303.932393516
44,138,62,67,7,59,50,66,True,79,13,81,22,96,60,31,12,1,electricity,growth factor,147,15,34,56,64,False,4,91,EV,EV,33,94,48,20,fleet average,21,21,24,16,94,fleet average,13,139,16,40,25,False,52,106,9,16,28,False,8,39,19,True,0,50,19,47,False,7,54,-948860.8195197495,0.0,3385.5457492107084,-3995.7016133682073,0.0,-17625.667584978954,0.0,0.0,489227.0983946899,-3016.354602326872,0.0,-2892.491598135022,-60651.53560601962,0.0,-139852.02969696186,0.0,0.0,992039.0118639065
45,398,9,85,80,27,15,83,True,76,65,7,256,1,51,86,26,16,gasoline,growth factor,21,62,29,27,21,True,91,21,baseline,baseline,14,81,79,10,fleet average,16,24,19,17,5,fleet average,10,101,10,21,78,True,60,104,5,13,23,False,13,4,21,False,40,34,5,63,True,77,11,-336214.80860932847,0.0,1002.8470685828214,-13318.467947464222,0.0,56662.284297443795,0.0,0.0,1166410.997354389,-3017.7134111695923,0.0,-7621.760022387852,-30340.057353162403,0.0,-138274.81128883557,0.0,0.0,1016118.8082378843
46,111,73,8,60,4,38,36,False,4,92,94,222,145,119,115,17,38,gasoline,growth factor,58,78,99,40,9,False,89,96,EV,EV,27,83,43,13,EV,29,24,15,14,35,fleet average,13,138,13,39,65,False,8,135,7,19,26,True,36,18,33,True,36,7,40,4,False,41,8,-766103.1326647529,0.0,-78825.39774878761,-7126.178333751502,0.0,-48600.45218993067,0.0,0.0,603533.3016095241,-3016.8981258639833,0.0,-7592.043828042597,-21881.040166318515,0.0,-143008.60607333703,0.0,0.0,1018935.654720022
47,210,7,12,100,90,74,86,True,85,100,101,462,2,148,44,12,45,electricity,growth factor,8,85,35,57,7,False,40,3,EV,EV,24,87,57,0,fleet average,16,26,11,15,2,EV,23,98,14,35,40,False,3,19,7,3,30,True,3,18,28,False,22,12,34,29,True,53,75,-198925.36851985473,0.0,-39665.79591321369,-6189.979385716829,0.0,25622.810153507,0.0,0.0,1242370.4039280675,-3015.8110787897604,0.0,-11193.694512033058,-20471.203968511214,0.0,-141429.78299818988,0.0,0.0,1018597.2323457482
48,238,36,23,7,63,86,56,False,80,99,134,252,44,45,67,6,25,CNG,elasticity,119,100,56,53,42,True,95,62,baseline,EV,41,36,73,18,EV,27,17,14,16,66,fleet average,6,38,11,16,10,False,18,197,0,5,34,True,41,6,43,True,23,41,28,17,True,91,57,-381864.38048128015,0.0,-27039.46267240361,-46609.77187068397,0.0,52287.52086945083,0.0,0.0,1070037.3837289854,-3014.7240317155374,0.0,-10924.304961682761,-45143.337430139174,0.0,-139850.95992938272,0.0,0.0,998855.7231613523
