Corridor, VMT, VHT
"Kensington",206937.015614,239242.355528
"Kensington_OB",26562.351204,31363.340938
"Kensington_IB",23796.174232,30434.206063
"190",282469.874037,300633.50829
"190_OB",36483.463967,45783.789093
"190_IB",30282.776539,33375.415786
"33_west",45402.79583,57478.416768
"I90_south",147224.537661,153543.832728
