Corridor, VMT, VHT
"Kensington",58862.690203,91784.912735
"Kensington_OB",6847.607584,11802.322584
"Kensington_IB",5892.150762,9620.285219
"190",252162.570655,261393.534227
"190_OB",32770.226588,38930.949369
"190_IB",27137.545994,29011.488976
"33_west",37571.36972,44531.61858
"I90_south",138369.922624,142743.493263
